rs	[RS, SR]
os	[OS, SO]
or	[OR, RO]
op	[OP, PO]
ho	[HO, OH]
gh	[GH, HG]
fo	[FO, OF]
et	[ET, TE]
es	[ES, SE]
er	[ER, RE]
eo	[EO, OE]
eh	[EH, HE]
eg	[EG, GE]
do	[DO, OD]
dg	[DG, GD]
de	[DE, ED]
ce	[CE, EC]
as	[AS, SA]
ar	[AR, RA]
ad	[AD, DA]
8t	[8T, T8]
8s	[8S, S8]
8o	[8O, O8]
8g	[8G, G8]
8e	[8E, E8]
8a	[8A, A8]
2o	[2O, O2]
2g	[2G, G2]
2a	[2A, A2]
ost	[STO, TSO]
ort	[RTO, TOR]
oot	[OTO, TOO]
oos	[OSO, SOO]
oor	[OOR, ORO]
apt	[PTA, TPA]
air	[AIR, RAI]
agt	[TAG, TGA]
agm	[AMG, GAM]
agh	[AHG, HAG]
aen	[ANE, EAN]
aek	[AEK, EAK]
aeg	[AEG, GAE]
adg	[ADG, GDA]
ade	[DAE, EDA]
mor	[ORM, ROM]
8gt	[8TG, T8G]
8go	[O8G, OG8]
8gk	[8GK, K8G]
8es	[ES8, SE8]
8do	[8OD, DO8]
8cs	[8SC, SC8]
8cg	[8CG, C8G]
8cd	[8CD, DC8]
8at	[T8A, TA8]
8am	[8AM, AM8]
8ak	[8AK, AK8]
4oo	[4OO, O4O]
gst	[STG, TSG]
4do	[4DO, 4OD]
fgs	[FSG, SFG]
48o	[4O8, O48]
2os	[S2O, SO2]
eot	[ETO, TOE]
eos	[ESO, SOE]
eop	[OEP, POE]
eoo	[OEO, OOE]
2ho	[2OH, HO2]
2gt	[2TG, T2G]
2et	[ET2, TE2]
eho	[HOE, OHE]
egt	[ETG, TEG]
2ao	[A2O, OA2]
eet	[ETE, TEE]
2ae	[2AE, AE2]
doz	[DZO, ODZ]
dmo	[DOM, ODM]
dgo	[GDO, ODG]
deg	[EDG, GDE]
28t	[T28, T82]
cos	[OSC, SCO]
cor	[COR, ORC]
