TOHAE2-	0.742329347757 0.89088694882 0.742329347757 0.89088694882
-4ODCOE	0.897007936013 0.897007936085 0.251622892378 0.251622892449
-4ODOE	0.897008195421 0.897008196154 0.25236985338 0.252369854113
-8TOR	0.897371788663 0.897371807276 0.62550083775 0.625500856363
-GDCIIIR	0.892884069671 0.892884069671 0.619642372235 0.619642372235
-ODAN	0.894093825496 0.89409382773 0.458544451489 0.458544453723
-ODCC	0.894096076466 0.894096133014 0.0871472261556 0.0871472827041
-ODCCG	0.89409592558 0.894095929998 0.294750858753 0.294750863171
-SCDG	0.89516138653 0.895161395588 0.302185907322 0.30218591638
2	0.912197070023 0.915138711646 0.912197070023 0.915138711646
2-2	0.915258124311 0.915258509392 0.915258124311 0.915258509392
2-2SO	0.915257905303 0.915257906467 0.54525504637 0.545255047535
2-8AN	0.915261648559 0.91526164902 0.458842127123 0.458842127584
2-8G-8G-GDCCTG	0.915264300661 0.915264300661 0.34059465842 0.34059465842
2-AM-SAPTC8G	0.915143356285 0.915143356285 0.361858002585 0.361858002585
2-GHOM	0.915180336565 0.915180336652 0.451994906279 0.451994906366
2-OD	0.915202770248 0.915202887608 0.203467681268 0.203467798628
2-ODOE	0.915202575746 0.915202576572 0.25236831764 0.252368318466
2-OHAM	0.915205272755 0.915205272841 0.445657594919 0.445657595006
2-SCDG	0.915223351299 0.915223351478 0.30218591768 0.302185917859
2-SODCG	0.915224604898 0.91522460492 0.295548957247 0.295548957269
2-TAR	0.915226640026 0.915226643729 0.604747189629 0.604747193331
2-TCAK	0.915226883974 0.915226884048 0.428452522759 0.428452522833
2-TOR	0.915230420132 0.915230425993 0.625471821756 0.625471827617
22COD	0.915318795567 0.915318829903 0.199063093688 0.199063128023
24ODCO	0.915831630491 0.915831634235 0.475307269295 0.47530727304
269	0.916030627118 0.916030627392 0.999835754177 0.999835754451
28AE	0.916074906331 0.916075728424 0.228828615365 0.228829437458
2A	0.898638946523 0.898867288035 0.0708082371682 0.0710365786796
2A2	0.898900042907 0.898904564378 0.898900042907 0.898904564378
2A7	0.898937586916 0.898937799989 0.935996357405 0.935996570477
2A8G	0.898971393537 0.898972515399 0.361487022679 0.361488144541
2ADAM	0.897770059563 0.897770071058 0.445444862151 0.445444873646
2AE	0.897908200989 0.897921274252 0.228464063683 0.228477136946
2AE-2ARG	0.897921796946 0.897921796947 0.335240007241 0.335240007242
2AE2	0.89792314957 0.897923408439 0.902021841711 0.90202210058
2AE2AEG	0.897921889061 0.897921889151 0.305788402033 0.305788402123
2AE8AE	0.897925434894 0.897925438548 0.228637534274 0.228637537928
2AE8AK	0.897925506962 0.897925507506 0.428983974664 0.428983975208
2AE8AM	0.897925515717 0.89792551656 0.446236712144 0.446236712987
2AE8G	0.897927234616 0.897927298846 0.362261599436 0.362261663667
2AEAE	0.897844698304 0.897844756404 0.225425412976 0.225425471076
2AEAIIL	0.897845692819 0.897845692825 0.44033435096 0.440334350966
2AEAR	0.897847201966 0.89784724437 0.603148192382 0.603148234786
2AECCO7	0.897850858934 0.897850858948 0.93637264588 0.936372645894
2AEDAM	0.897858454503 0.897858455161 0.445452798747 0.445452799406
2AEDCC8G	0.897858709598 0.897858709628 0.361566503499 0.361566503529
