#
A	0.103197283337 0.114301484913 0.103197283337 0.114301484913
AARON	0.225264814392 0.225265622746 0.512874633709 0.512875442063
ABANDON	0.0464413286819 0.0464413287165 0.510705213376 0.510705213411
ABANDONED	0.0464413285184 0.0464413285197 0.187790479557 0.187790479559
ABANDONING	0.0464413285493 0.0464413285493 0.573390136991 0.573390136991
ABANDONMENT	0.0464413285885 0.0464413285885 0.765507406343 0.765507406343
ABBEY	0.0195903863126 0.019591097089 0.363595160728 0.363595871504
ABDOMEN	0.0157130668017 0.0157130668019 0.5122165109 0.5122165109
ABLE	0.263401940767 0.263402066957 0.43833491341 0.438335039599
ABERRANT	0.0157137745678 0.0157137745688 0.765547301883 0.765547301884
ABERRATIONS	0.0195535105529 0.0195535105529 0.847355778222 0.847355778222
ABIDE	0.0465777001143 0.0465777716017 0.173450918055 0.173450989542
ABIDING	0.0465774259816 0.046577426014 0.573237526022 0.573237526054
ABILITIES	0.0468318812322 0.0468318812326 0.843837224274 0.843837224275
ABILITY	0.0468318812326 0.0468318812471 0.374758812467 0.374758812481
ABLE	0.263401940767 0.263402066957 0.43833491341 0.438335039599
ABOARD	0.0465663489154 0.0465663516541 0.192258708745 0.192258711483
ABOLISH	0.0464187160058 0.0464187160514 0.726611366155 0.726611366201
ABOLITION	0.0195077194714 0.0195077194716 0.513340157244 0.513340157244
ABORIGINE	0.0195539243239 0.0195539243239 0.370464468062 0.370464468062
ABORIGINES	0.0195539243239 0.0195539243239 0.843728187823 0.843728187823
ABORTION	0.0465666154662 0.0465666154704 0.513356335634 0.513356335638
ABOUT	0.0465732788613 0.0465733086881 0.742726832917 0.742726862744
ABOVE	0.0465568072881 0.0465568252318 0.810256168899 0.810256186842
ABRAHAM	0.263538970077 0.263538970077 0.482476484101 0.482476484101
ABREAST	0.0471731064192 0.0471731070844 0.775592459927 0.775592460593
ABROAD	0.0471673772909 0.0471673800296 0.173110495199 0.173110497938
ABRUPT	0.0471670496687 0.0471670497817 0.770623189148 0.770623189261
ABRUPTLY	0.0471670493385 0.0471670493385 0.369703230516 0.369703230516
ABSENCE	0.0196699148211 0.0196699153838 0.695840876221 0.695840876784
ABSENT	0.0196699200289 0.0196699206404 0.765560471707 0.765560472319
ABSOLUTE	0.0196698215557 0.019669821559 0.783106104503 0.783106104507
ABSOLUTELY	0.0196698215462 0.0196698215462 0.369714011912 0.369714011912
ABSORB	0.047422231374 0.0474222314014 0.157215626688 0.157215626715
ABSORBED	0.0474222312444 0.0474222312454 0.174178245809 0.17417824581
ABSORPTION	0.0474222372387 0.0474222372387 0.513355412507 0.513355412507
ABSTENTION	0.0472665903115 0.0472665903115 0.510597192368 0.510597192368
ABSTRACT	0.0157237288644 0.0157237288644 0.758636123675 0.758636123675
ABSTRACTION	0.0157237288643 0.0157237288643 0.513343000824 0.513343000824
ABSTRACTIONS	0.0157237288643 0.0157237288643 0.84735597515 0.84735597515
ABSURD	0.0472337026827 0.0472337046603 0.178094596163 0.17809459814
ABSURDITY	0.0472336918212 0.0472336918214 0.374734030313 0.374734030313
ABUNDANCE	0.0465535589802 0.0465535589811 0.695709021198 0.695709021199
ABUNDANT	0.0465535589891 0.0465535589901 0.765417164488 0.765417164489
ABUSE	0.0474169028563 0.0474169032432 0.712138401323 0.71213840171
ABUSED	0.0474169090948 0.0474169091016 0.201042045958 0.201042045965
ABUSES	0.0474169007533 0.0474169007541 0.836641813154 0.836641813155
ACADEMIC	0.0239525237277 0.0239525237279 0.409532117604 0.409532117604
ACADEMICALLY	0.0239525237269 0.0239525237269 0.369391358986 0.369391358986
ACADEMY	0.0663158370641 0.0663158370757 0.369924759607 0.369924759619
ACCELERATE	0.016082382141 0.016082382141 0.750639871471 0.750639871471
ACCELERATED	0.016082382141 0.016082382141 0.171760801554 0.171760801554
ACCELERATING	0.016082382141 0.016082382141 0.573498709843 0.573498709843
ACCELERATION	0.0243944069461 0.0243944069461 0.513335250726 0.513335250726
ACCELERATOR	0.016082382141 0.016082382141 0.250118550568 0.250118550568
ACCELEROMETER	0.0160823821224 0.0160823821224 0.249883605724 0.249883605724
ACCENT	0.0683861830075 0.0683861852834 0.76607121672 0.766071218996
ACCENTS	0.0243939362082 0.02439393621 0.709833917435 0.709833917437
ACCEPT	0.0160823947691 0.016082394786 0.770795975393 0.77079597541
ACCEPTABLE	0.0160823946703 0.0160823946703 0.438325023482 0.438325023482
ACCEPTANCE	0.0160823946742 0.0160823946742 0.695866599138 0.695866599138
ACCEPTED	0.0160823947027 0.0160823947027 0.180924185244 0.180924185244
ACCEPTING	0.0160823947042 0.0160823947042 0.573507830683 0.573507830683
ACCEPTS	0.0160823947515 0.0160823947524 0.710099019722 0.710099019723
ACCESS	0.0243946716232 0.0243946792435 0.680007901011 0.680007908631
ACCESSIBLE	0.0160823988919 0.0160823988919 0.43832462396 0.43832462396
ACCESSORIES	0.0160823997071 0.0160823997071 0.843601987614 0.843601987614
ACCIDENT	0.0243877243598 0.0243877243646 0.765412353367 0.765412353372
ACCIDENTAL	0.0243877415363 0.0243877415363 0.440570879642 0.440570879642
ACCIDENTALLY	0.0243877415362 0.0243877415362 0.369120273127 0.369120273127
ACCIDENTS	0.0243877243547 0.024387724355 0.709801159687 0.709801159687
ACCOMMODATE	0.0662779951516 0.0662779951521 0.750567950946 0.750567950946
ACCOMMODATIONS	0.0662779951478 0.0662779951478 0.847355776599 0.847355776599
ACCOMPANIED	0.066625923308 0.066625923308 0.182390830906 0.182390830906
ACCOMPANIMENT	0.0666259320386 0.0666259320386 0.765505999605 0.765505999605
ACCOMPANY	0.0666259233092 0.0666259233094 0.370484320511 0.370484320511
ACCOMPANYING	0.0666259233082 0.0666259233082 0.573326685623 0.573326685623
ACCOMPLISH	0.0662786634255 0.0662786634256 0.726622372536 0.726622372536
ACCOMPLISHED	0.0662786634255 0.0662786634255 0.778400730571 0.778400730571
ACCOMPLISHMENT	0.0662786634253 0.0662786634253 0.765509040604 0.765509040604
ACCOMPLISHMENTS	0.0662786634253 0.0662786634253 0.709806509108 0.709806509108
ACCORD	0.0666597061108 0.0666597132193 0.192262798418 0.192262805526
ACCORDANCE	0.066659666233 0.0666596662349 0.69571018815 0.695710188152
ACCORDING	0.066659678852 0.0666596788553 0.573246038587 0.573246038591
ACCORDINGLY	0.0666596788426 0.0666596788426 0.369532757417 0.369532757417
ACCOUNT	0.0666755640405 0.0666755687897 0.765728840225 0.765728844974
ACCOUNTED	0.0666755364475 0.0666755364621 0.171807086203 0.171807086218
ACCOUNTING	0.0666755458289 0.0666755458311 0.573505537754 0.573505537756
ACCOUNTS	0.0666755590824 0.0666755593452 0.709818669977 0.70981867024
ACCREDITATION	0.0682325849409 0.0682325849409 0.513335722218 0.513335722218
ACCRUING	0.0683187774131 0.068318777479 0.573523895934 0.573523896
ACCUMULATED	0.0688673574137 0.0688673574137 0.171761396616 0.171761396616
ACCUMULATION	0.0688673574137 0.0688673574137 0.513335438747 0.513335438747
ACCURACY	0.0244996183398 0.0244996183407 0.373464836934 0.373464836935
ACCURATE	0.0244996189864 0.0244996190416 0.737996263634 0.73799626369
ACCURATELY	0.0244996188251 0.0244996188251 0.369675050896 0.369675050896
ACCUSE	0.0688674033637 0.0688674038246 0.854829067372 0.854829067833
ACCUSED	0.068867401184 0.0688674012018 0.201042056168 0.201042056186
ACCUSING	0.0688674015965 0.0688674015967 0.573545856505 0.573545856505
ACCUSTOMED	0.0666318364231 0.0666318364241 0.186777015417 0.186777015418
ACE	0.272680769392 0.272807147856 0.682671702697 0.682798081161
ACETATE	0.0288239104345 0.0288239110818 0.751128661937 0.751128662584
ACHIEVE	0.0477806697051 0.0477806765971 0.813424884832 0.813424891724
ACHIEVED	0.0477806371071 0.0477806373725 0.19944765726 0.199447657526
ACHIEVEMENT	0.0477806510826 0.0477806510827 0.765509697606 0.765509697606
ACHIEVEMENTS	0.0477806510826 0.0477806510826 0.709806545458 0.709806545458
ACHIEVES	0.0477806694862 0.0477806696612 0.854975267109 0.854975267284
ACHIEVING	0.0477806432762 0.0477806432794 0.573527120695 0.573527120698
ACHING	0.267676278879 0.267676319588 0.573343502164 0.573343542873
ACID	0.0287808142865 0.0287812349765 0.171511089355 0.171511510045
ACIDS	0.0287808009266 0.0287808116082 0.838676620369 0.838676631051
ACKNOWLEDGE	0.0160732414035 0.0160732414036 0.391921056147 0.391921056147
ACKNOWLEDGED	0.0160732414032 0.0160732414032 0.183216320163 0.183216320163
ACQUAINTANCE	0.0688350282569 0.068835028257 0.695865369175 0.695865369175
ACQUAINTED	0.0688350282161 0.0688350282167 0.171808674364 0.171808674364
ACQUIESCENCE	0.0244952254358 0.0244952254358 0.695841934442 0.695841934442
ACQUIRE	0.0688318673943 0.0688318681513 0.237804410616 0.237804411373
ACQUIRED	0.0688318638139 0.0688318638431 0.177281571637 0.177281571666
ACQUIRING	0.0688319697498 0.0688319697506 0.573443077346 0.573443077347
ACQUISITION	0.0244938027085 0.0244938027085 0.513340638915 0.513340638915
ACRE	0.267628724959 0.26763055643 0.243135895829 0.2431377273
ACREAGE	0.267621620654 0.267621621095 0.391874452146 0.391874452587
ACRES	0.267628666797 0.267628713299 0.840495225027 0.84049527153
ACROPOLIS	0.0682027700415 0.0682027700416 0.67130883447 0.67130883447
ACROSS	0.068220402375 0.0682204125881 0.674623188696 0.674623198909
ACRYLIC	0.0682523963845 0.0682523964099 0.409485966819 0.409485966844
ACT	0.0244691977445 0.0244750683789 0.758644698111 0.758650568745
ACTED	0.0244350889505 0.0244351069583 0.171785355955 0.171785373963
ACTING	0.0244466856282 0.0244466882847 0.573502332108 0.573502334764
ACTION	0.024425264093 0.024425269783 0.513343009134 0.513343014824
ACTIONS	0.0244252639124 0.0244252640568 0.847355975361 0.847355975505
ACTIVATED	0.0244371382024 0.0244371382024 0.171762512511 0.171762512511
ACTIVATION	0.0244371381932 0.0244371381932 0.513335791334 0.513335791334
ACTIVE	0.0244470212899 0.02444702363 0.812836645858 0.812836648198
ACTIVELY	0.0244470144548 0.0244470144568 0.369739689948 0.36973968995
ACTIVES	0.0244470212156 0.024447021275 0.854960331304 0.854960331364
ACTIVITIES	0.016086458243 0.016086458243 0.843838054494 0.843838054494
ACTIVITY	0.016086458243 0.016086458243 0.37479151024 0.37479151024
ACTOR	0.0244435824474 0.0244437019619 0.250281513022 0.250281632536
ACTORS	0.024443578652 0.0244435816865 0.840676657318 0.840676660353
ACTRESS	0.0244592832546 0.0244592844587 0.672262000421 0.672262001625
ACTS	0.024463068851 0.024463393656 0.709426725148 0.709427049953
ACTUAL	0.0240328417564 0.0240328417575 0.440771668479 0.44077166848
ACTUALITY	0.0240328416483 0.0240328416483 0.374757522989 0.374757522989
ACTUALLY	0.0240328417524 0.0240328417524 0.369124067418 0.369124067418
ACUTE	0.0688673942867 0.0688673953781 0.783274137464 0.783274138556
ACUTELY	0.0688673910988 0.0688673910998 0.369714157041 0.369714157042
ADD	0.0204411145562 0.020536569815 0.169362796417 0.169458251676
ADA	0.263783675933 0.263790682622 0.0488803941378 0.0488874008264
ADAM	0.0199030297733 0.0199032256344 0.483143881119 0.48314407698
ADAMANT	0.0199019314983 0.0199019315559 0.765503905187 0.765503905244
ADAMS	0.0199030235533 0.0199030285263 0.846589198072 0.846589203046
ADAPT	0.0481219242237 0.0481219365012 0.770461746536 0.770461758813
ADAPTATION	0.0199090385094 0.0199090385094 0.513335753608 0.513335753608
ADAPTATIONS	0.0198630008896 0.0198630008896 0.847355791136 0.847355791136
ADAPTED	0.0481218528911 0.0481218529287 0.171821604154 0.171821604192
ADD	0.0204411145562 0.020536569815 0.169362796417 0.169458251676
ADDED	0.0198865128704 0.0198868056745 0.169977763496 0.169978056301
ADDING	0.0200750723669 0.0200751155613 0.573235676105 0.5732357193
EDITION	0.0491257911029 0.0491257916197 0.513339835494 0.513339836011
ADDITIONAL	0.0491257881813 0.0491257881832 0.439650921681 0.439650921683
ADDITIONALLY	0.0491257881748 0.0491257881749 0.369102888753 0.369102888753
ADDITIONS	0.0491257910865 0.0491257910996 0.84735589478 0.847355894793
ADDRESS	0.0202842400457 0.020284246313 0.679922292668 0.679922298936
ADDRESSED	0.0499737401956 0.0499737418838 0.775592550066 0.775592551754
ADDRESSES	0.0202842164268 0.0202842164321 0.842684530909 0.842684530915
ADDRESSING	0.0499736474697 0.0499736474824 0.573466709507 0.57346670952
ADS	0.0204380831674 0.0204405068441 0.838622073687 0.838624497364
ADENAUER	0.263766352039 0.263766352098 0.627170590861 0.62717059092
ADEQUATE	0.0198989442114 0.0198989442224 0.740736753153 0.740736753164
ADEQUATELY	0.019898944179 0.0198989441791 0.369677417835 0.369677417835
ADHERED	0.0157525701297 0.0157525701312 0.192655082213 0.192655082215
ADHERENCE	0.0489663685901 0.0489663685907 0.695830434935 0.695830434935
ADHERENTS	0.015752570096 0.015752570096 0.70980872678 0.70980872678
ADHESIVE	0.0157525796485 0.0157525796485 0.812808735451 0.812808735451
ADIOS	0.0033782341121 0.0033782348016 0.699958865809 0.699958866499
ADJACENT	0.0658353809997 0.065835381021 0.765562409099 0.76556240912
ADJOINING	0.0660199773739 0.0660199773767 0.573405229586 0.573405229589
ADJUNCT	0.0238055377199 0.023805537725 0.759919880932 0.759919880937
ADJUST	0.0657484951489 0.0657484975266 0.775234609612 0.77523461199
ADJUSTED	0.0657484813343 0.0657484813416 0.17183624467 0.171836244678
ADJUSTING	0.0657484860312 0.0657484860323 0.57350983921 0.573509839211
ADJUSTMENT	0.0657484887243 0.0657484887243 0.765509408546 0.765509408546
ADJUSTMENTS	0.0657484887243 0.0657484887243 0.709806529465 0.709806529465
ADLAI	0.000124094206982 0.000124094253145 0.360931984145 0.360931984192
ADMINISTERED	0.0495425709614 0.0495425709614 0.177774940646 0.177774940646
ADMINISTRATION	0.01576235655 0.01576235655 0.513335645233 0.513335645233
ADMINISTRATIVE	0.0495425709719 0.0495425709719 0.812833617258 0.812833617258
ADMINISTRATOR	0.0495425709719 0.0495425709719 0.250126836257 0.250126836257
ADMINISTRATORS	0.01576235655 0.01576235655 0.840672729985 0.840672729985
ADMIRABLE	0.0201859582395 0.0201859582397 0.438322708504 0.438322708504
ADMIRABLY	0.0201859584048 0.0201859584048 0.369165927197 0.369165927197
ADMIRATION	0.0201860395093 0.0201860395094 0.513335251498 0.513335251498
